Date MM/DD/YYYY,Invoice Number,Company,Category,Product Details,Quantity,Amount / Unit,Tax Structure,Input Tax / Unit,Total Input Tax / Unit,Total Amount,Month of Sale,Date MM/DD/YYYY.1,Invoice Number.1,Company.1,Amount / Unit.1,Output Tax,Total Output Tax Collected,Total Amount.1,Profit / Invoice,Purchase Price,Input Tax,Total Incoming Price,Sell Price,Output Tax.1,Nett Selling Price,VAT
18-Mar-21,ANU/20-21/1126,Company E,Storage,Samsung 4TB QVO SSD,1,27250,18,4905,4905,32155,21-Mar,24-Mar-21,HT103,Company 20,33000,5940,5940,38940,5750,27250,4905,32155,33000,5940,38940,1035
19-Mar-21,2258,Company A,Software,Microsoft Windows 10 Professional OEM,1,8900,18,1602,1602,10502,21-Mar,24-Mar-21,HT103,Company 20,11550,2079,2079,13629,2650,8900,1602,10502,11550,2079,13629,477
23-Mar-21,ANU/20-21/1132,Company E,Cable,Cable DP to HDMI Cable 3 Meters,1,250,18,45,45,295,21-Mar,24-Mar-21,HT103,Company 20,1150,207,207,1357,900,250,45,295,1150,207,1357,162
23-Mar-21,ANU/20-21/1132,Company E,Cable,Cable DP to DP,1,150,18,27,27,177,21-Mar,24-Mar-21,HT103,Company 20,1150,207,207,1357,1000,150,27,177,1150,207,1357,180
23-Mar-21,ANU/20-21/1132,Company E,Cable,D-Link CAT 6 Cable 36 Meters,20,36,18,6.48,129.6,849.6,21-Mar,24-Mar-21,HT103,Company 20,75,13.5,270,1770,780,720,129.6,849.6,1500,270,1770,140.4
23-Mar-21,ANU/20-21/1132,Company E,Carry Case,Belkin Surcharge 6-Pin,1,910,18,163.8,163.8,1073.8,21-Mar,24-Mar-21,HT103,Company 20,1400,252,252,1652,490,910,163.8,1073.8,1400,252,1652,88.2
23-Mar-21,ANU/20-21/1132,Company E,Keyboard,Dell KeyBoard USB,1,425,18,76.5,76.5,501.5,21-Mar,24-Mar-21,HT103,Company 20,500,90,90,590,75,425,76.5,501.5,500,90,590,13.5
23-Mar-21,ANU/20-21/1132,Company E,Mouse,Dell USB Mouse,1,210,18,37.8,37.8,247.8,21-Mar,24-Mar-21,HT103,Company 20,300,54,54,354,90,210,37.8,247.8,300,54,354,16.2
23-Mar-21,ANU/20-21/1132,Company E,Storage,64 GB PenDriv Scandisk,2,530,18,95.4,190.8,1250.8,21-Mar,26-Mar-21,HT106,Company H,700,126,252,1652,340,1060,190.8,1250.8,1400,252,1652,61.2
23-Mar-21,ANU/20-21/1132,Company E,Storage,128 GB PenDriv Scandisk,2,1050,18,189,378,2478,21-Mar,26-Mar-21,HT106,Company H,1300,234,468,3068,500,2100,378,2478,2600,468,3068,90
26-Mar-21,BAN/2021/065,Company I,Webcamera,Logitech BCC950 Camera,1,16600,18,2988,2988,19588,21-Mar,26-Mar-21,HT106,Company H,18850,3393,3393,22243,2250,16600,2988,19588,18850,3393,22243,405
26-Mar-21,BAN/2021/066,Company I,Display,"Panasonic 43"" LH-43HX1DX",1,27000,28,7560,7560,34560,21-Mar,26-Mar-21,HT104,Company 20,37400,10472,10472,47872,10400,27000,7560,34560,37400,10472,47872,2912
26-Mar-21,2020-21/FS/00654,Company B,Accessories,Paper Input Tray,1,550,18,99,99,649,21-Mar,27-Mar-21,HT105,Company 5,900,162,162,1062,350,550,99,649,900,162,1062,63
,,Company E,Service,Printer Service HP Laserjet P1007,1,10936.1,18,0,0,0,21-Mar,27-Mar-21,HT105,Company 5,2750,495,495,3245,2750,0,0,0,2750,495,3245,495
,,Company E,Service,Service,1,10936.1,18,0,0,0,21-Mar,27-Mar-21,HT105,Company 5,2500,450,450,2950,2500,0,0,0,2500,450,2950,450
30-Mar-21,ANU/20-21/1156,Company E,Keyboard,Dell KeyBoard USB,1,375,18,67.5,67.5,442.5,21-Mar,30-Mar-21,HT107,Company 5,500,90,90,590,125,375,67.5,442.5,500,90,590,22.5
30-Mar-21,ANU/20-21/1156,Company E,Mouse,Dell USB Mouse,3,210,18,37.8,113.4,743.4,21-Mar,30-Mar-21,HT107,Company 5,300,54,162,1062,270,630,113.4,743.4,900,162,1062,48.6
30-Mar-21,ANU/20-21/1156,Company E,Accessories,HDD Casing,8,125,18,22.5,180,1180,21-Mar,30-Mar-21,HT108,Company H,300,54,432,2832,1400,1000,180,1180,2400,432,2832,252
30-Mar-21,ANU/20-21/1156,Company E,Storage,Seagate 2TB External Hard Disk Drive Backup Plus,3,4400,18,792,2376,15576,21-Mar,30-Mar-21,HT108,Company H,4788.14,861.86,2585.59,16950,1164,13200,2376,15576,14364.41,2585.59,16950,209.59
30-Mar-21,ANU/20-21/1156,Company E,Storage,Sandisk 32GB Pendrive,8,315,18,56.7,453.6,2973.6,21-Mar,30-Mar-21,HT108,Company H,381.36,68.64,549.15,3600,531,2520,453.6,2973.6,3050.85,549.15,3600,95.55
31-Mar-21,ANU/20-21/1161,Company E,Memory,Laptop Memory 8GB DDR3 1600 MHz Kingston,1,2550,18,459,459,3009,21-Mar,31-Mar-21,HT109,Company 46,2550.85,459.15,459.15,3010,1,2550,459,3009,2550.85,459.15,3010,0.15
31-Mar-21,IKC/2020-21/361,Company C,Screen,Laptop Screen for Lenovo G580 Job Code 977,1,3250,18,585,585,3835,21-Mar,31-Mar-21,HT110,Company H,4250,765,765,5015,1000,3250,585,3835,4250,765,5015,180
31-Mar-21,IKC/2020-21/361,Company C,Speaker,Lenovo G580 Speaker Job Code 977,1,650,18,117,117,767,21-Mar,31-Mar-21,HT110,Company H,1250,225,225,1475,600,650,117,767,1250,225,1475,108
31-Mar-21,IKC/2020-21/361,Company C,Service Charges Job Code 977,Lenovo G580 Repair Charges Job Code 977,1,800,18,144,144,944,21-Mar,31-Mar-21,HT110,Company H,1250,225,225,1475,450,800,144,944,1250,225,1475,81
31-Mar-21,IKC/2020-21/361,Company C,Service Charges Job Code 9778,Dell 3521 Repair Charges Job Code 978,1,2300,18,414,414,2714,21-Mar,31-Mar-21,HT110,Company H,3500,630,630,4130,1200,2300,414,2714,3500,630,4130,216
31-Mar-21,IKC/2020-21/361,Company C,Service Charges Job Code 979,Lenovo G50-80 Laptop Repair Charges Job Code 979,1,800,18,144,144,944,21-Mar,31-Mar-21,HT110,Company H,1250,225,225,1475,450,800,144,944,1250,225,1475,81
31-Mar-21,IKC/2020-21/361,Company C,Memory,Laptop Memory Module 4GB Job Code 978,1,1400,18,252,252,1652,21-Mar,31-Mar-21,HT110,Company H,1800,324,324,2124,400,1400,252,1652,1800,324,2124,72
31-Mar-21,IKC/2020-21/361,Company C,,Service Charges,1,10936.1,18,0,0,0,21-Mar,31-Mar-21,HT110,Company H,1750,315,315,2065,1750,0,0,0,1750,315,2065,315
